xx || xx || x
7a || xx || x
7a || 7a || 1
7a || 7a || 1
7a || 7a || 1
7a || 7a || 1
7a || 7a || 1
7a || 7a || 1
7a || 7a || 1
7a || 7a || 1
7a || 7a || 1
7a || 7a || 1
7a || f4 || 0
7a || e8 || 0
7a || d0 || 0
7a || a1 || 0
7a || 43 || 0
7a || 87 || 0
7a || 0e || 0
7a || 1c || 0
7a || 39 || 0
7a || 72 || 0
7a || e5 || 0
7a || cb || 0
7a || 97 || 0
7a || 2f || 0
7a || 5f || 0
7a || bf || 0
7a || 7f || 0
7a || fe || 0
7a || fd || 0
7a || fb || 0
7a || f7 || 0
7a || ee || 0
7a || dc || 0
7a || b8 || 0
7a || 71 || 0
7a || e3 || 0
7a || c7 || 0
7a || 8e || 0
7a || 1d || 0
7a || 3b || 0
7a || 76 || 0
7a || ed || 0
7a || da || 0
7a || b4 || 0
7a || 68 || 0
7a || d1 || 0
7a || a3 || 0
7a || 47 || 0
7a || 8f || 0
7a || 1f || 0
7a || 3f || 0
7a || 7e || 0
7a || fc || 0
7a || f9 || 0
7a || f3 || 0
7a || e6 || 0
7a || cd || 0
7a || 9b || 0
7a || 36 || 0
7a || 6d || 0
7a || db || 0
7a || b6 || 0
7a || 6c || 0
7a || d9 || 0
7a || b2 || 0
7a || 64 || 0
7a || c8 || 0
7a || 91 || 0
7a || 23 || 0
7a || 46 || 0
7a || 8d || 0
7a || 1b || 0
7a || 37 || 0
7a || 6f || 0
7a || df || 0
7a || be || 0
7a || 7d || 0
7a || fa || 0
7a || f5 || 0
7a || ea || 0
7a || d4 || 0
7a || a9 || 0
7a || 52 || 0
7a || a4 || 0
7a || 49 || 0
7a || 92 || 0
7a || 25 || 0
7a || 4a || 0
7a || 94 || 0
7a || 29 || 0
7a || 53 || 0
7a || a6 || 0
7a || 4d || 0
7a || 9a || 0
7a || 34 || 0
7a || 69 || 0
7a || d3 || 0
7a || a7 || 0
7a || 4f || 0
7a || 9e || 0
7a || 3c || 0
7a || 78 || 0
7a || f0 || 0
7a || e0 || 0
7a || c1 || 0
7a || 82 || 0
7a || 04 || 0
7a || 09 || 0
7a || 12 || 0
7a || 24 || 0
7a || 48 || 0
7a || 90 || 0
7a || 21 || 0
7a || 42 || 0
7a || 85 || 0
7a || 0a || 0
7a || 14 || 0
7a || 28 || 0
7a || 51 || 0
7a || a2 || 0
7a || 45 || 0
7a || 8b || 0
7a || 17 || 0
7a || 2e || 0
7a || 5d || 0
7a || bb || 0
7a || 77 || 0
7a || ef || 0
7a || de || 0
7a || bc || 0
7a || 79 || 0
7a || f2 || 0
7a || e4 || 0
7a || c9 || 0
7a || 93 || 0
7a || 27 || 0
7a || 4e || 0
7a || 9c || 0
7a || 38 || 0
7a || 70 || 0
7a || e1 || 0
7a || c3 || 0
7a || 86 || 0
7a || 0c || 0
7a || 18 || 0
7a || 31 || 0
7a || 63 || 0
7a || c6 || 0
7a || 8c || 0
7a || 19 || 0
7a || 33 || 0
7a || 67 || 0
7a || ce || 0
7a || 9d || 0
7a || 3a || 0
7a || 74 || 0
7a || e9 || 0
7a || d2 || 0
7a || a5 || 0
7a || 4b || 0
7a || 96 || 0
7a || 2d || 0
7a || 5b || 0
7a || b7 || 0
7a || 6e || 0
7a || dd || 0
7a || ba || 0
7a || 75 || 0
7a || eb || 0
7a || d6 || 0
7a || ad || 0
7a || 5a || 0
7a || b5 || 0
7a || 6a || 0
7a || d5 || 0
7a || ab || 0
7a || 56 || 0
7a || ac || 0
7a || 58 || 0
7a || b1 || 0
7a || 62 || 0
7a || c4 || 0
7a || 88 || 0
7a || 11 || 0
7a || 22 || 0
7a || 44 || 0
7a || 89 || 0
7a || 13 || 0
7a || 26 || 0
7a || 4c || 0
7a || 98 || 0
7a || 30 || 0
7a || 61 || 0
7a || c2 || 0
7a || 84 || 0
7a || 08 || 0
7a || 10 || 0
7a || 20 || 0
7a || 40 || 0
7a || 81 || 0
7a || 02 || 0
7a || 05 || 0
7a || 0b || 0
7a || 16 || 0
7a || 2c || 0
7a || 59 || 0
7a || b3 || 0
7a || 66 || 0
7a || cc || 0
7a || 99 || 0
7a || 32 || 0
7a || 65 || 0
7a || ca || 0
7a || 95 || 0
7a || 2b || 0
7a || 57 || 0
7a || ae || 0
7a || 5c || 0
7a || b9 || 0
7a || 73 || 0
7a || e7 || 0
7a || cf || 0
7a || 9f || 0
7a || 3e || 0
7a || 7c || 0
7a || f8 || 0
7a || f1 || 0
7a || e2 || 0
7a || c5 || 0
7a || 8a || 0
7a || 15 || 0
7a || 2a || 0
7a || 55 || 0
7a || aa || 0
7a || 54 || 0
7a || a8 || 0
7a || 50 || 0
7a || a0 || 0
7a || 41 || 0
7a || 83 || 0
7a || 06 || 0
7a || 0d || 0
7a || 1a || 0
7a || 35 || 0
7a || 6b || 0
7a || d7 || 0
7a || af || 0
7a || 5e || 0
7a || bd || 0
7a || 7b || 0
7a || f6 || 0
7a || ec || 0
7a || d8 || 0
7a || b0 || 0
7a || 60 || 0
7a || c0 || 0
7a || 80 || 0
7a || 00 || 0
7a || 01 || 0
7a || 03 || 0
7a || 07 || 0
7a || 0f || 0
7a || 1e || 0
7a || 3d || 0
7a || 7a || 1

Found the repeat at cycle =        256

